city,share_transactions_with_nonartificial,share_transactions_artificial_only,share_transactions_nonartificial_only,mean_nonartificial_types_per_transaction,median_nonartificial_types_per_transaction,mean_transaction_length,cluster,country_code
OLOMOUC,0.7379807692307693,0.2620192307692308,0.008413461538461538,1.515625,1.0,5.949519230769231,1,CZ
OOSTENDE,0.4818007662835249,0.5181992337164751,0.0019157088122605363,0.8908045977011494,0.0,5.293103448275862,1,BE
ORLEANS,0.6861948301162659,0.3138051698837341,0.008804605485946495,1.4441810588102495,1.0,5.655604470030477,1,FR
OSNABRUCK,0.7216706607326259,0.2783293392673742,0.011982197877439232,1.7404998288257445,2.0,6.157137966449846,6,DE
OVIEDO,0.8796680497925311,0.12033195020746888,0.018257261410788383,2.2756846473029047,2.0,6.151701244813278,7,ES
PABIANICE,0.7199602780536246,0.2800397219463754,0.00893743793445879,1.3505461767626614,1.0,5.855014895729891,1,PL
PALENCIA,0.6526548672566371,0.3473451327433628,0.04793510324483776,1.2455752212389382,1.0,5.906342182890856,1,ES
PANEVEZYS,0.6662412252712189,0.3337587747287811,0.0038289725590299937,1.217613273771538,1.0,5.37906828334397,1,LT
PARDUBICE,0.6568115942028986,0.34318840579710147,0.020289855072463767,1.4028985507246376,1.0,5.8765217391304345,1,CZ
PARMA,0.8345508390918065,0.16544916090819348,0.013622902270483711,1.3293188548864758,1.0,5.668114511352418,3,IT
PASSAU,0.9180116204002582,0.08198837959974177,0.006455777921239509,2.196255648805681,2.0,6.987088444157521,5,DE
PAVIA,0.8065902578796562,0.19340974212034384,0.027220630372492838,1.744269340974212,2.0,6.406876790830945,6,IT
PERPIGNAN,0.813395985982797,0.18660401401720292,0.05646702771583307,2.286237655304237,2.0,5.998247849633641,2,FR
PERUGIA,0.9504950495049505,0.04950495049504951,0.015285739100225812,2.069914886225465,2.0,5.83003300330033,7,IT
PESARO,0.8675456997302967,0.13245430026970334,0.0068924183398261915,2.1303566077314953,2.0,5.858555588852263,7,IT
PILA,0.7729852440408627,0.22701475595913734,0.07377979568671963,1.833144154370034,2.0,5.979568671963678,1,PL
PLAUEN,0.7498660953401178,0.25013390465988217,0.04713444027852169,1.8141403320835565,2.0,6.170326727370113,5,DE
PLOVDIV,0.43125864453665286,0.5687413554633471,0.009681881051175657,0.7485477178423237,0.0,4.693499308437068,1,BG
PLZEN,0.7184942716857611,0.281505728314239,0.004582651391162029,1.5495908346972176,1.0,5.747954173486089,1,CZ
PODGORICA,0.5400921658986175,0.4599078341013825,0.0018433179723502304,0.9253456221198156,1.0,5.941013824884792,4,ME
PRESOV,0.7310344827586207,0.2689655172413793,0.01532567049808429,1.2505747126436781,1.0,6.035249042145594,1,SK
PRILEP,0.38142857142857145,0.6185714285714285,0.0,0.6671428571428571,0.0,4.99,1,MK
PRISTINA,0.6273100616016427,0.3726899383983573,0.003080082135523614,0.9322381930184805,1.0,6.006160164271047,3,XK
REYKJAVIK,0.6993051168667088,0.30069488313329124,0.011686670878079595,1.1974099810486418,1.0,5.199936828806065,4,IS
RIJEKA,0.75809199318569,0.24190800681431004,0.00596252129471891,1.208688245315162,1.0,6.146507666098808,1,HR
SALZBURG,0.636326194398682,0.36367380560131796,0.002059308072487644,1.0564250411861615,1.0,6.039126853377265,4,AT
SATU_MARE,0.7706260971328263,0.2293739028671738,0.07840842598010532,1.4985371562317145,2.0,5.305441778818023,6,RO
SHKODER,0.541958041958042,0.458041958041958,0.027972027972027972,1.013986013986014,1.0,5.031468531468532,6,AL
STAVANGER,0.5984280100035727,0.4015719899964273,0.008217220435869954,0.9764201500535906,1.0,5.972132904608789,4,NO
TARBES,0.7682357168523176,0.23176428314768235,0.024793388429752067,1.5249730506647503,2.0,5.973769313690262,6,FR
TOLEDO,0.8219575951205345,0.17804240487946557,0.01858844031367993,1.9151902410688353,2.0,5.4231774615161195,2,ES
TULCEA,0.8221528861154446,0.17784711388455537,0.17082683307332294,2.286271450858034,2.0,5.414976599063962,2,RO
USTI_NAD_LABEM,0.7639046538024972,0.23609534619750283,0.01532349602724177,1.3723041997729852,1.0,6.085698070374574,1,CZ
VALLETTA,0.4655218674537161,0.5344781325462838,0.00026831231553528306,0.8696002146498524,0.0,5.185403810034881,1,MT
VASTERAS,0.9296714579055442,0.07032854209445585,0.1353952772073922,2.4893480492813143,3.0,4.9707392197125255,7,SE
WORCESTER,0.5063538611925709,0.49364613880742914,0.0019550342130987292,0.8299120234604106,1.0,5.728250244379277,4,UK
ZILINA,0.7235494880546075,0.2764505119453925,0.023890784982935155,1.6832764505119453,2.0,5.752901023890785,1,SK
