repeat,k,ari
68,8,0.7146831913669318
68,9,0.7407157415992174
68,10,0.7447058909526838
69,2,0.378909408604649
69,3,0.8160133577581887
69,4,0.7833956031412798
69,5,0.7339734944072039
69,6,0.7435762697083467
69,7,0.7451249114412144
69,8,0.6129440110689663
69,9,0.589974554393834
69,10,0.6222580964923461
70,2,0.2850914727680806
70,3,0.5693575524815526
70,4,0.6805005471131284
70,5,0.6885947418943169
70,6,0.6764558673452806
70,7,0.7719538681316128
70,8,0.5298472450837727
70,9,0.6798860418778621
70,10,0.6343775808369041
71,2,0.07344715387708843
71,3,0.5342635321583092
71,4,0.7161260670618372
71,5,0.8752481222478228
71,6,0.9456430627004526
71,7,0.9437344417206273
71,8,0.6948876532396688
71,9,0.6876434816649676
71,10,0.5986758805325458
72,2,0.06284858553158974
72,3,0.45676057812396736
72,4,0.49204900108277955
72,5,0.587523940006192
72,6,0.6505029428715116
72,7,0.6999876930243268
72,8,0.4981835475915974
72,9,0.49269064583042954
72,10,0.5638709092746925
73,2,0.3301457535887802
73,3,0.8164175907671767
73,4,0.8403228703818885
73,5,0.7733864972942103
73,6,0.8409974864754175
73,7,0.8544712127398938
73,8,0.676319193413586
73,9,0.6395214684644506
73,10,0.7215911207121308
74,2,0.06284858553158974
74,3,0.20729037949633763
74,4,0.43962441945875624
74,5,0.5092903177175593
74,6,0.5526463010093529
74,7,0.5727264651168341
74,8,0.41994633683253
74,9,0.4137941366572354
74,10,0.4069939986696198
75,2,0.4851933910944513
75,3,0.5412589446102518
75,4,0.635523718987891
75,5,0.7505359393328385
75,6,0.8309093608510237
75,7,0.8480253173053378
75,8,0.7067569418431383
75,9,0.7400298745677396
75,10,0.7179972345535259
76,2,0.3538998750383622
76,3,0.7695674704241502
76,4,0.7689850361486297
76,5,0.7431137770128405
76,6,0.7647152918772557
76,7,0.7547494177419963
76,8,0.6564515675413148
76,9,0.6196688221881658
76,10,0.6993866272596612
77,2,0.3301457535887802
77,3,0.7245388673297742
77,4,0.7440803967852239
77,5,0.7205943293536692
77,6,0.7426884150152746
77,7,0.7530383245969089
77,8,0.6274143809530391
77,9,0.5867619534477214
77,10,0.6186015746687434
78,2,0.2236482808306714
78,3,0.7389827977681841
78,4,0.7596727849009591
78,5,0.7099742176372642
78,6,0.7738626958850134
78,7,0.7851084129331759
78,8,0.5511468777525582
