repeat,k,ari
115,9,0.5288690364943496
115,10,0.6401760195317354
116,2,0.3301457535887802
116,3,0.8032948376136663
116,4,0.7985875952599698
116,5,0.7416564883433662
116,6,0.8075379511102655
116,7,0.8240297414521489
116,8,0.6583449257294132
116,9,0.6138921834242898
116,10,0.6911378020903529
117,2,0.9208006335949313
117,3,0.9365670459309656
117,4,0.9258891000678657
117,5,0.8288347068237687
117,6,0.8971027388346847
117,7,0.9005465683671158
117,8,0.6983067207715042
117,9,0.6657471117516133
117,10,0.7498825064832754
118,2,0.8080650161849864
118,3,0.7777234061513592
118,4,0.7728916708411481
118,5,0.7655956005561451
118,6,0.7821564115344461
118,7,0.5780788375136836
118,8,0.5603974692940903
118,9,0.5814600453400958
118,10,0.6585625889862817
119,2,0.45727589503222427
119,3,0.5212713684712973
119,4,0.6127829606760794
119,5,0.7244504694129298
119,6,0.7684244244206015
119,7,0.6110834664641333
119,8,0.5658277709449188
119,9,0.6075007903808193
119,10,0.6986680822971326
120,2,0.4851933910944513
120,3,0.3021499807801848
120,4,0.635523718987891
120,5,0.7060833381009767
120,6,0.7582865607804193
120,7,0.7813702942270973
120,8,0.6425587807925043
120,9,0.6390375941459263
